run_id,id,date,amount,utr_ref,narration,status
RUN-SEED-mt4l32y2,BNK-SETL-101,2026-08-03T09:00:00.000Z,572663.56,UTR-RAZORPAY-88290101,NEFT CR: HDFC0000060 UTR-RAZORPAY-88290101 RAZORPAY SETTLEMENT setl_DGlQ101os78Ec,pending
RUN-SEED-mt4l32y2,BNK-SETL-102,2026-08-05T09:00:00.000Z,682257.25,UTR-RAZORPAY-88290102,NEFT CR: HDFC0000060 UTR-RAZORPAY-88290102 RAZORPAY SETTLEMENT setl_DGlQ102os78Ec,pending
RUN-SEED-mt4l32y2,BNK-SETL-103,2026-08-07T09:00:00.000Z,421650.88,UTR-RAZORPAY-88290103,NEFT CR: HDFC0000060 UTR-RAZORPAY-88290103 RAZORPAY SETTLEMENT setl_DGlQ103os78Ec,pending
RUN-SEED-mt4l32y2,BNK-SETL-104,2026-08-09T09:00:00.000Z,644996.06,UTR-RAZORPAY-88290104,NEFT CR: HDFC0000060 UTR-RAZORPAY-88290104 RAZORPAY SETTLEMENT setl_DGlQ104os78Ec,pending
RUN-SEED-mt4l32y2,BNK-SETL-105,2026-08-11T09:00:00.000Z,548573.2,UTR-RAZORPAY-88290105,NEFT CR: HDFC0000060 UTR-RAZORPAY-88290105 RAZORPAY SETTLEMENT setl_DGlQ105os78Ec,pending
RUN-SEED-mt4l32y2,BNK-SETL-106,2026-08-13T09:00:00.000Z,558793.13,UTR-RAZORPAY-88290106,NEFT CR: HDFC0000060 UTR-RAZORPAY-88290106 RAZORPAY SETTLEMENT setl_DGlQ106os78Ec,pending
RUN-SEED-mt4l32y2,BNK-SETL-107,2026-08-15T09:00:00.000Z,616916.83,UTR-RAZORPAY-88290107,NEFT CR: HDFC0000060 UTR-RAZORPAY-88290107 RAZORPAY SETTLEMENT setl_DGlQ107os78Ec,pending
RUN-SEED-mt4l32y2,BNK-SETL-108,2026-08-17T09:00:00.000Z,521584.38,UTR-RAZORPAY-88290108,NEFT CR: HDFC0000060 UTR-RAZORPAY-88290108 RAZORPAY SETTLEMENT setl_DGlQ108os78Ec,pending
RUN-SEED-mt4l32y2,BNK-SETL-109,2026-08-19T09:00:00.000Z,617095.55,UTR-RAZORPAY-88290109,NEFT CR: HDFC0000060 UTR-RAZORPAY-88290109 RAZORPAY SETTLEMENT setl_DGlQ109os78Ec,pending
RUN-SEED-mt4l32y2,BNK-SETL-110,2026-08-21T09:00:00.000Z,598445.01,UTR-RAZORPAY-88290110,NEFT CR: HDFC0000060 UTR-RAZORPAY-88290110 RAZORPAY SETTLEMENT setl_DGlQ110os78Ec,pending
RUN-SEED-mt4l32y2,BNK-SETL-111,2026-08-23T09:00:00.000Z,505350.71,UTR-RAZORPAY-88290111,NEFT CR: HDFC0000060 UTR-RAZORPAY-88290111 RAZORPAY SETTLEMENT setl_DGlQ111os78Ec,pending
RUN-SEED-mt4l32y2,BNK-SETL-112,2026-08-25T09:00:00.000Z,510398.66,UTR-RAZORPAY-88290112,NEFT CR: HDFC0000060 UTR-RAZORPAY-88290112 RAZORPAY SETTLEMENT setl_DGlQ112os78Ec,pending
RUN-SEED-mt4l32y2,BNK-SETL-113,2026-08-27T09:00:00.000Z,499587.23,UTR-RAZORPAY-88290113,NEFT CR: HDFC0000060 UTR-RAZORPAY-88290113 RAZORPAY SETTLEMENT setl_DGlQ113os78Ec,pending
RUN-SEED-mt4l32y2,BNK-SETL-114,2026-08-29T09:00:00.000Z,561255.86,UTR-RAZORPAY-88290114,NEFT CR: HDFC0000060 UTR-RAZORPAY-88290114 RAZORPAY SETTLEMENT setl_DGlQ114os78Ec,pending
RUN-SEED-mt4l32y2,BNK-SETL-115,2026-08-31T09:00:00.000Z,610422,UTR-RAZORPAY-88290115,NEFT CR: HDFC0000060 UTR-RAZORPAY-88290115 RAZORPAY SETTLEMENT setl_DGlQ115os78Ec,pending
RUN-SEED-mt4l32y2,BNK-SETL-116,2026-09-02T09:00:00.000Z,545393.63,UTR-RAZORPAY-88290116,NEFT CR: HDFC0000060 UTR-RAZORPAY-88290116 RAZORPAY SETTLEMENT setl_DGlQ116os78Ec,pending
RUN-SEED-mt4l32y2,BNK-FEE-001,2026-08-15T12:00:00.000Z,-750,CHG-CMS-8821,CMS MONTHLY MAINTENANCE CHARGES + GST,pending
